{'loss': 0.1105, 'grad_norm': 0.2675994336605072, 'learning_rate': 3.8377153439907266e-05, 'epoch': 5.02}
{'loss': 0.0986, 'grad_norm': 0.38568106293678284, 'learning_rate': 3.669115718079702e-05, 'epoch': 5.07}
{'loss': 0.1029, 'grad_norm': 0.35421961545944214, 'learning_rate': 3.503467445880789e-05, 'epoch': 5.12}
{'loss': 0.095, 'grad_norm': 0.3537660241127014, 'learning_rate': 3.340847749883191e-05, 'epoch': 5.16}
{'loss': 0.1042, 'grad_norm': 0.33146384358406067, 'learning_rate': 3.1813324407038825e-05, 'epoch': 5.21}
{'loss': 0.0973, 'grad_norm': 0.3263952136039734, 'learning_rate': 3.0249958817459722e-05, 'epoch': 5.26}
{'loss': 0.0992, 'grad_norm': 0.33221691846847534, 'learning_rate': 2.8719109545317103e-05, 'epoch': 5.3}
{'loss': 0.0904, 'grad_norm': 0.37327417731285095, 'learning_rate': 2.722149024726307e-05, 'epoch': 5.35}
{'loss': 0.0994, 'grad_norm': 0.3638531267642975, 'learning_rate': 2.5757799088684654e-05, 'epoch': 5.4}
{'loss': 0.0973, 'grad_norm': 0.3082251250743866, 'learning_rate': 2.432871841823047e-05, 'epoch': 5.44}
{'loss': 0.0934, 'grad_norm': 0.3621923625469208, 'learning_rate': 2.2934914449711087e-05, 'epoch': 5.49}
{'loss': 0.0951, 'grad_norm': 0.33608391880989075, 'learning_rate': 2.157703695152109e-05, 'epoch': 5.54}
{'loss': 0.0925, 'grad_norm': 0.3678421378135681, 'learning_rate': 2.025571894372794e-05, 'epoch': 5.58}
{'loss': 0.0975, 'grad_norm': 0.37947237491607666, 'learning_rate': 1.897157640296825e-05, 'epoch': 5.63}
{'loss': 0.0925, 'grad_norm': 0.45925626158714294, 'learning_rate': 1.772520797528988e-05, 'epoch': 5.68}
{'loss': 0.0939, 'grad_norm': 0.36242997646331787, 'learning_rate': 1.65171946970729e-05, 'epoch': 5.72}
{'loss': 0.0924, 'grad_norm': 0.4211837351322174, 'learning_rate': 1.534809972415998e-05, 'epoch': 5.77}
{'loss': 0.0888, 'grad_norm': 0.37122201919555664, 'learning_rate': 1.4218468069322578e-05, 'epoch': 5.82}
