{'loss': 0.163, 'grad_norm': 0.30690866708755493, 'learning_rate': 0.00010269863510067872, 'epoch': 3.54}
{'loss': 0.1527, 'grad_norm': 0.2457728534936905, 'learning_rate': 0.00010053978993079045, 'epoch': 3.58}
{'loss': 0.1588, 'grad_norm': 0.31825917959213257, 'learning_rate': 9.838069311974986e-05, 'epoch': 3.63}
{'loss': 0.1561, 'grad_norm': 0.25333812832832336, 'learning_rate': 9.622235120283769e-05, 'epoch': 3.68}
{'loss': 0.1529, 'grad_norm': 0.28464123606681824, 'learning_rate': 9.406577036341548e-05, 'epoch': 3.72}
{'loss': 0.1693, 'grad_norm': 0.38873374462127686, 'learning_rate': 9.19119559638596e-05, 'epoch': 3.77}
{'loss': 0.1541, 'grad_norm': 0.26648539304733276, 'learning_rate': 8.976191207687775e-05, 'epoch': 3.82}
{'loss': 0.155, 'grad_norm': 0.29227766394615173, 'learning_rate': 8.7616641017427e-05, 'epoch': 3.86}
{'loss': 0.1586, 'grad_norm': 0.3338625729084015, 'learning_rate': 8.5477142875451e-05, 'epoch': 3.91}
{'loss': 0.1616, 'grad_norm': 0.3199561834335327, 'learning_rate': 8.334441504965455e-05, 'epoch': 3.95}
{'loss': 0.152, 'grad_norm': 0.2178725302219391, 'learning_rate': 8.1219451782533e-05, 'epoch': 4.0}
{'loss': 0.1231, 'grad_norm': 0.3884064853191376, 'learning_rate': 7.91032436968725e-05, 'epoch': 4.05}
{'loss': 0.1144, 'grad_norm': 0.3171460032463074, 'learning_rate': 7.699677733393826e-05, 'epoch': 4.09}
{'loss': 0.1226, 'grad_norm': 0.29124799370765686, 'learning_rate': 7.490103469356513e-05, 'epoch': 4.14}
{'loss': 0.118, 'grad_norm': 0.3278328478336334, 'learning_rate': 7.281699277636572e-05, 'epoch': 4.19}
{'loss': 0.1214, 'grad_norm': 0.3638451099395752, 'learning_rate': 7.07456231282686e-05, 'epoch': 4.23}
{'loss': 0.1151, 'grad_norm': 0.3265867531299591, 'learning_rate': 6.868789138759976e-05, 'epoch': 4.28}
{'loss': 0.1173, 'grad_norm': 0.2906111180782318, 'learning_rate': 6.664475683491796e-05, 'epoch': 4.33}
{'loss': 0.1169, 'grad_norm': 0.3317986726760864, 'learning_rate': 6.461717194581393e-05, 'epoch': 4.37}
{'loss': 0.1175, 'grad_norm': 0.3492093086242676, 'learning_rate': 6.260608194688206e-05, 'epoch': 4.42}
{'loss': 0.1255, 'grad_norm': 0.3216022551059723, 'learning_rate': 6.061242437507131e-05, 'epoch': 4.47}
{'loss': 0.1234, 'grad_norm': 0.3112005293369293, 'learning_rate': 5.863712864062089e-05, 'epoch': 4.51}
{'loss': 0.1179, 'grad_norm': 0.34931907057762146, 'learning_rate': 5.668111559378471e-05, 'epoch': 4.56}
{'loss': 0.1211, 'grad_norm': 0.39081066846847534, 'learning_rate': 5.474529709554612e-05, 'epoch': 4.61}
{'loss': 0.1137, 'grad_norm': 0.3549642264842987, 'learning_rate': 5.283057559252341e-05, 'epoch': 4.65}
